Especialización en dirección de empresas de ingeniería;17 de Octubre del 2017;Titulados en carreras técnicas como Ingenieros, Arquitectos, Administradores de empresas, Directivos de empresas, Gerentes y profesionales en general con una experiencia profesional garantizada y en cargos de responsabilidad ya sea en obras o emprendimientos de ingeniería.;../images/noticias/titulado.jpg;#;Descargar Formulario
Horario de Clases Semestrales 2017;19 de Octubre del 2017;Ya estan disponibles los horario de clases semestrales de todas las carreras de la FIUNI...;;;
